Unnamed: 0,ulasan,label,pred_string,confidence,pred_numeric,sentiment_category
2,"App sangggatttt rekomendasiiiiiii, buat belanja semakin keceeee tanpa harus repot dan susah cari barang",1,POSITIVE,1.0,1.0,Top Positive
1393,"Shopee memang terbaik , vouchernya setiap toko selalu ada dan pengirimanya juga cepat smaa barang yang dipesan sesuai keinginan",1,POSITIVE,1.0,1.0,Top Positive
1396,"Shopee memang debest deh Aku sering belanja dan 1x tranksaksi lagi akan jadi GOLD dan debestnya lagi SpyLaterku udu di aktifin,, ehh kemarin dpet shopepinjam jg Gilakkk THEBEESSTT BENER DEH..datang disaat yg tepat Semoga sukses selalu dan aku jdi pelanggan setia THANKYUU SHOPEEE 👍👍👍👍👍",1,POSITIVE,1.0,1.0,Top Positive
1403,Saya beberapa kali saya berbelanja barang sampai tepat waktu.dan saya senang berbelanja di Shopee.terimakasih Shopee.,1,POSITIVE,1.0,1.0,Top Positive
1409,"Menurtku si apk ny bagus , Adanya apk blnja online ini jga , mau blnja apapun jadi mudah , gampang , cpt lagi ..",1,POSITIVE,1.0,1.0,Top Positive
1410,shopee sekarang banyak toko yg gk pake jasa pengiriman JNT nya. jadi voucher gratis ongkir gk bisa ke pake sm jasa pengiriman yg ada. padahal voucher gratis ongkir itu sangat bermanfaat buat sy reseller.. skrg banyak barang barang bagus yg gk bisa di jual lg karna kemahalan di ongkir.,1,POSITIVE,1.0,1.0,Top Positive
1412,Aplikasii ini sangat bagus saya kalo mau beli apa apa selalu di shopee karna shopee ada gratis ongkir dan murah murah saya kasih bintang 5 yaaaa karna aplikasi inii sangat bagussss terus shopee bisa ulang tahun dengan 1212 sale jadi saya kasih bintang 5 yaaa jangan lupa download aplikasi shopee,1,POSITIVE,1.0,1.0,Top Positive
1372,Aplikasi shopee belanja lebih mudah dan puas memilih barang .gak perlu jauh2 keluar rumah pokonya shopee ia the best.,1,POSITIVE,1.0,1.0,Top Positive
1373,saya suka belanja di shopee karena banyak diskonnya dan produknya ori kirim barangnya tepat waktu........!! saya suda berkali kali belanja di shopee dan saya puas akan pelayananyan respon penjualnya cepat dan amanah. pokoknya shopee oke banget......,1,POSITIVE,1.0,1.0,Top Positive
1374,"Alhamdulillah selama ini shopee sdh bnyak membantu saya utk belanja online , semoga makin keren lg kedepannya ,,",1,POSITIVE,1.0,1.0,Top Positive
